,DÁTUM,5,25,45,65,85,105
166,2020-10-15 00:00:00,0.0,0.0,0.0,2.6782294760579678e-06,9.225375934069313e-06,5.207209753847756e-05
167,2020-10-14 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,7.995325809526738e-06,9.670532400002976e-05
168,2020-10-13 00:00:00,0.0,0.0,0.0,1.9130210543271195e-06,1.2300501245425751e-05,2.2316613230776096e-05
169,2020-10-12 00:00:00,0.0,0.0,0.0,1.1478126325962717e-06,6.765275684984163e-06,0.0
170,2020-10-11 00:00:00,0.0,0.0,3.581947985100529e-07,3.8260421086542396e-07,7.3803007472554505e-06,5.207209753847756e-05
171,2020-10-10 00:00:00,0.0,0.0,0.0,7.652084217308479e-07,9.8404009963406e-06,1.4877742153850731e-05
172,2020-10-09 00:00:00,0.0,0.0,3.581947985100529e-07,3.8260421086542396e-07,3.075125311356438e-06,5.9510968615402924e-05
173,2020-10-08 00:00:00,0.0,0.0,3.581947985100529e-07,1.5304168434616958e-06,7.3803007472554505e-06,2.9755484307701462e-05
174,2020-10-07 00:00:00,0.0,4.7516999206466113e-07,0.0,1.9130210543271195e-06,1.0455426058611889e-05,7.4388710769253654e-06
175,2020-10-06 00:00:00,0.0,0.0,3.581947985100529e-07,7.652084217308479e-07,7.3803007472554505e-06,3.719435538462683e-05
176,2020-10-05 00:00:00,0.0,0.0,0.0,0.0,6.765275684984163e-06,0.0
177,2020-10-04 00:00:00,0.0,0.0,0.0,0.0,6.150250622712876e-06,0.0
178,2020-10-03 00:00:00,0.0,0.0,0.0,1.1478126325962717e-06,5.535225560441588e-06,1.4877742153850731e-05
179,2020-10-02 00:00:00,0.0,0.0,0.0,7.652084217308479e-07,6.765275684984163e-06,2.9755484307701462e-05
180,2020-10-01 00:00:00,0.0,0.0,3.581947985100529e-07,7.652084217308479e-07,7.995325809526738e-06,0.0
181,2020-09-30 00:00:00,0.0,0.0,0.0,1.1478126325962717e-06,3.075125311356438e-06,0.0
182,2020-09-29 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,3.6901503736277252e-06,7.4388710769253654e-06
183,2020-09-28 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,6.150250622712876e-06,1.4877742153850731e-05
184,2020-09-27 00:00:00,0.0,0.0,3.581947985100529e-07,0.0,1.8450751868138626e-06,1.4877742153850731e-05
185,2020-09-26 00:00:00,0.0,0.0,0.0,1.1478126325962717e-06,4.9202004981703e-06,7.4388710769253654e-06
186,2020-09-25 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,3.075125311356438e-06,2.2316613230776096e-05
187,2020-09-24 00:00:00,0.0,0.0,3.581947985100529e-07,0.0,3.6901503736277252e-06,0.0
188,2020-09-23 00:00:00,0.0,0.0,0.0,1.5304168434616958e-06,2.46010024908515e-06,0.0
189,2020-09-22 00:00:00,0.0,0.0,3.581947985100529e-07,7.652084217308479e-07,2.46010024908515e-06,7.4388710769253654e-06
190,2020-09-21 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,6.150250622712875e-07,7.4388710769253654e-06
191,2020-09-20 00:00:00,0.0,0.0,0.0,1.1478126325962717e-06,3.075125311356438e-06,0.0
192,2020-09-19 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,3.075125311356438e-06,0.0
193,2020-09-18 00:00:00,0.0,0.0,0.0,0.0,2.46010024908515e-06,1.4877742153850731e-05
194,2020-09-17 00:00:00,0.0,0.0,3.581947985100529e-07,0.0,3.075125311356438e-06,2.2316613230776096e-05
195,2020-09-16 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,1.8450751868138626e-06,2.9755484307701462e-05
196,2020-09-15 00:00:00,0.0,0.0,0.0,0.0,1.8450751868138626e-06,7.4388710769253654e-06
197,2020-09-14 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,1.8450751868138626e-06,7.4388710769253654e-06
198,2020-09-13 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,6.150250622712875e-07,1.4877742153850731e-05
199,2020-09-12 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,7.4388710769253654e-06
200,2020-09-11 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,0.0
201,2020-09-10 00:00:00,0.0,0.0,0.0,0.0,1.230050124542575e-06,0.0
